Date,Realised_Volatility,GARCH_Forecast,GARCH_Binary,True_Target
2022-10-04,0.0080895839870139,0.00830725610016825,1,1
2022-10-05,0.0079390822177352,0.008519967891621323,1,0
2022-10-06,0.0106435763285699,0.008311313036414851,1,1
2022-10-07,0.0056036336468225,0.008116177818833082,0,0
2022-10-10,0.0124429312393221,0.009098198475830667,1,1
2022-10-11,0.0108463069798786,0.00906812273855467,0,0
2022-10-12,0.0072919834740576,0.008856124311700535,0,0
2022-10-13,0.0171614719306749,0.008650874485382102,1,1
2022-10-14,0.0144839547465016,0.008672980960379271,0,0
2022-10-17,0.0108103253584076,0.009116773403585349,0,0
2022-10-18,0.0094024283397198,0.009369531324131148,0,0
2022-10-19,0.0085599483540728,0.009142494672097245,0,0
2022-10-20,0.0129004573849768,0.008922784562658923,1,1
2022-10-21,0.0089097582302047,0.008721736941343889,0,0
2022-10-24,0.0085520201387418,0.008578524026283618,0,0
2022-10-25,0.0110488329765925,0.008383395069853486,0,1
2022-10-26,0.012026973669423,0.008591736112536935,0,1
2022-10-27,0.0114096928370847,0.008520975997713617,0,0
2022-10-28,0.0081674038286003,0.00838080495586989,0,0
2022-10-31,0.0074204991308624,0.008549792141832444,1,0
2022-11-01,0.0079320062108186,0.00845173874909129,1,1
2022-11-02,0.0107514152863819,0.008246583641812126,1,1
2022-11-03,0.0137652232943185,0.008156685442810122,0,1
2022-11-04,0.0098959917179926,0.007991841407972964,0,0
2022-11-07,0.0048042915321552,0.008266020421970157,0,0
2022-11-08,0.0075061293685724,0.008078839762402779,1,1
2022-11-09,0.0073039936194341,0.007949571061780026,1,0
2022-11-10,0.0209316761220165,0.008364797865167748,1,1
2022-11-11,0.0052583733637594,0.010734484913867406,0,0
2022-11-14,0.0061563788580162,0.010626724147769915,1,1
2022-11-15,0.0100315410253053,0.010360604949760899,1,1
2022-11-16,0.0089257369492696,0.010164908743870103,1,0
2022-11-17,0.0082389327794754,0.010228067864527323,1,0
2022-11-18,0.0084563693010266,0.0100099204025888,1,1
2022-11-21,0.0037896999943342,0.009811389229452041,1,0
2022-11-22,0.0077388267849393,0.009578063299906035,1,1
2022-11-23,0.0062476988439926,0.009634161068009319,1,0
2022-11-25,0.0026634503933001,0.00951467488928166,1,0
2022-11-28,0.0073009111636462,0.009322223054577496,1,1
2022-11-29,0.0042294927805639,0.009219884827143596,1,0
2022-11-30,0.0114841593409396,0.009022156845389274,1,1
2022-12-01,0.00639872358966,0.00969812073104773,0,0
2022-12-02,0.0077097630875429,0.009479079285270328,1,1
2022-12-05,0.0037276686310209,0.009288369593768215,1,0
2022-12-06,0.0079514810948585,0.009106982288667822,1,1
2022-12-07,0.0052637768983213,0.009123047668546337,1,0
2022-12-08,0.0078322160568232,0.008909442544396932,1,1
2022-12-09,0.0077040404978577,0.009275859387478737,1,0
2022-12-12,0.0042870911164198,0.009069339026349947,1,0
2022-12-13,0.0124943162303986,0.008984435233852282,1,1
2022-12-14,0.0088366756186202,0.008896090288421745,0,0
2022-12-15,0.0086274649936659,0.008767753349698069,0,0
2022-12-16,0.0074487718972596,0.008846283189735373,1,0
2022-12-19,0.0067170082457658,0.00872310876028843,1,0
2022-12-20,0.003277991151715,0.008580180577968135,1,0
2022-12-21,0.004365342290378,0.008395503910628535,1,1
2022-12-22,0.0112671062280167,0.008291121782766975,1,1
2022-12-23,0.0059502867813941,0.008976548016255751,0,0
2022-12-27,0.0105745076031417,0.008775532545706713,1,1
2022-12-28,0.0063085802306471,0.009423643194307307,0,0
2022-12-29,0.0055839997369361,0.009203238703587245,1,0
