Date,Realised_Volatility,GARCH_Forecast,GARCH_Binary,True_Target
2023-05-11,0.0048236072318476,0.00577357926127181,1,0
2023-05-12,0.0036651981251379,0.005677136675526873,1,0
2023-05-15,0.0039679348676421,0.005571109526035164,1,1
2023-05-16,0.0061570582086793,0.005546921535519269,1,1
2023-05-17,0.0034331164899561,0.005435646449560269,0,0
2023-05-18,0.0070785145333449,0.005561629192777437,1,1
2023-05-19,0.0050562676645685,0.005969979115131565,0,0
2023-05-22,0.0039877451003388,0.005883616370905202,1,0
2023-05-23,0.0029369879978818,0.005755242780959159,1,0
2023-05-24,0.0482814045804702,0.005696099882735731,1,1
2023-05-25,0.0121530170065691,0.005577855750143258,0,0
2023-05-26,0.0047137026877099,0.012510850228883274,1,0
2023-05-30,0.0104384733405095,0.01225016239998199,1,1
2023-05-31,0.0084894951773299,0.012030340834586772,1,0
2023-06-01,0.0072695411982829,0.012161326285386643,1,0
2023-06-02,0.0074803950508026,0.01213943619732095,1,1
2023-06-05,0.004738013951934,0.01184486239871937,1,0
2023-06-06,0.0052584110445883,0.01154600238856091,1,1
2023-06-07,0.0073135803038378,0.011282643681371524,1,1
2023-06-08,0.0049192097187282,0.011135036170582906,1,0
2023-06-09,0.0052572546287069,0.01094648592191964,1,1
2023-06-12,0.0056502257978819,0.010681870197813692,1,1
2023-06-13,0.0052366688902376,0.010459957948264835,1,0
2023-06-14,0.0071513906163374,0.010387496317493217,1,1
2023-06-15,0.0068598263656753,0.010412170994472553,1,0
2023-06-16,0.0043633578718263,0.010173167011453555,1,0
2023-06-20,0.0055916231551889,0.009930051767632616,1,1
2023-06-21,0.007066317316293,0.009776020381820084,1,1
2023-06-22,0.004579700407794,0.00959396620410346,1,0
2023-06-23,0.0052511578864379,0.009368066929205023,1,1
2023-06-26,0.0086031510662263,0.009207974628355113,1,1
2023-06-27,0.008584704796351,0.009216652526124604,1,0
2023-06-28,0.0073247986920709,0.009121278338914823,1,0
2023-06-29,0.0037984161119801,0.008964047218236784,1,0
2023-06-30,0.0052532470769039,0.008765022985316354,1,1
2023-07-03,0.0038088415778421,0.008739517258361954,1,0
2023-07-05,0.0056898178227853,0.008535314463029681,1,1
2023-07-06,0.0047206924649397,0.008337595707610322,1,0
2023-07-07,0.0049770624800043,0.00814888360760295,1,1
2023-07-10,0.0059780150805262,0.007968592120764268,1,1
2023-07-11,0.0021665429962424,0.007794823564747004,1,0
2023-07-12,0.0053610447613029,0.0076135206148328655,1,1
2023-07-13,0.0048051849456138,0.0076354212300119685,1,0
2023-07-14,0.008261848718929,0.007812137159425431,1,1
2023-07-17,0.0043521803115369,0.007656596358153521,0,0
2023-07-18,0.0068204592873173,0.0075508671234003335,1,1
2023-07-19,0.0040771720440382,0.007451794564166821,1,0
2023-07-20,0.0063969001919939,0.007296044411340432,1,1
2023-07-21,0.0089838854906692,0.0073553822415106124,1,1
2023-07-24,0.0043526669578719,0.007333248254729785,0,0
2023-07-25,0.0069000071346073,0.00716751177296912,1,1
2023-07-26,0.0056332925520522,0.007096340628803777,1,0
2023-07-27,0.0080024901359774,0.00693783153105182,1,1
2023-07-28,0.0023962372529025,0.006789070272827413,0,0
2023-07-31,0.0026864912275922,0.006689761947957681,1,1
2023-08-01,0.0051205437583488,0.006531689577721553,1,1
